Sample-#, CA-V, CA-I, CB-V, CB-I 
72, 4.79759216309, 0.0854492172948, 4.79187011719, 1.03912351187
73, 4.7974395752, 0.0778198227636, 4.7917175293, 0.985717750154
74, 4.7974395752, 0.0473022446386, 4.79187011719, 0.993347144686
75, 4.79751586914, 0.0701904282323, 4.79179382324, 1.02386472281
76, 4.79751586914, 0.11596679542, 4.7917175293, 0.917053199373
77, 4.79759216309, 0.0625610337011, 4.79187011719, 1.03149411734
78, 4.79759216309, 0.215148931602, 4.7917175293, 1.02386472281
79, 4.79751586914, 0.154113775352, 4.79179382324, 1.0467529064
80, 4.79751586914, 0.0930786118261, 4.7917175293, 0.978088355623
81, 4.79759216309, 0.11596679542, 4.79194641113, 1.03912351187
82, 4.7974395752, 0.161743169883, 4.79187011719, 1.05438230094
83, 4.7974395752, 0.13885498629, 4.79187011719, 1.02386472281
84, 4.7974395752, 0.146484380821, 4.7917175293, 1.00860593375
85, 4.7974395752, 0.0854492172948, 4.7917175293, 1.03149411734
86, 4.7974395752, 0.108337400889, 4.7917175293, 0.985717750154
87, 4.79751586914, 0.0549316391698, 4.79187011719, 1.07727048453
88, 4.79766845703, 0.0549316391698, 4.79187011719, 0.962829566561
89, 4.79759216309, -0.0442504897364, 4.79164123535, 1.10778806265
90, 4.79736328125, 0.13885498629, 4.79179382324, 0.993347144686
91, 4.79751586914, 0.0854492172948, 4.79164123535, 1.02386472281
92, 4.79759216309, 0.177001958946, 4.79148864746, 1.03912351187
93, 4.79751586914, 0.13885498629, 4.79187011719, 0.947570777498
94, 4.79766845703, 0.0854492172948, 4.79179382324, 1.10015866812
95, 4.79751586914, 0.161743169883, 4.79179382324, 1.00860593375
96, 4.79736328125, 0.0854492172948, 4.7917175293, 0.856018043123
97, 4.7974395752, 0.131225591758, 4.7917175293, 1.09252927359
98, 4.79736328125, -0.105285645986, 4.7917175293, 1.07727048453
99, 4.7972869873, 0.0244140628638, 4.79179382324, 1.06201169547
100, 4.79736328125, 0.123596197227, 4.7917175293, 1.00097653922
101, 4.7974395752, 0.123596197227, 4.7917175293, 1.01623532828
102, 4.7974395752, 0.100708006357, 4.79179382324, 0.932311988436
103, 4.79766845703, 0.0701904282323, 4.7917175293, 1.09252927359
104, 4.79736328125, 0.0549316391698, 4.79164123535, 1.0467529064
105, 4.79766845703, 0.0473022446386, 4.79164123535, 1.03912351187
106, 4.79759216309, 0.13885498629, 4.7917175293, 1.00097653922
107, 4.79766845703, 0.177001958946, 4.7917175293, 1.05438230094
108, 4.79736328125, 0.0244140628638, 4.79164123535, 1.03149411734
109, 4.79736328125, -0.0442504897364, 4.79179382324, 1.02386472281
110, 4.7972869873, 0.108337400889, 4.7917175293, 1.07727048453
111, 4.7972869873, 0.100708006357, 4.79179382324, 1.03149411734
112, 4.79751586914, 0.0473022446386, 4.79179382324, 0.993347144686
113, 4.7974395752, 0.215148931602, 4.7917175293, 0.978088355623
114, 4.79751586914, 0.11596679542, 4.79179382324, 1.01623532828
115, 4.79751586914, 0.0625610337011, 4.7917175293, 1.10015866812
116, 4.79759216309, 0.177001958946, 4.79194641113, 1.08489987906
117, 4.7974395752, 0.0473022446386, 4.79164123535, 0.901794410311
118, 4.7974395752, 0.00152587892899, 4.7917175293, 0.978088355623
119, 4.7972869873, 0.184631353477, 4.7917175293, 0.993347144686
120, 4.7974395752, 0.161743169883, 4.79164123535, 0.978088355623
121, 4.79759216309, 0.154113775352, 4.79187011719, 0.924682593904
